name,gnd_id
Raiding,4104840-4
Bayreuth,4005056-7
Basel-Klybeck,4125925-7
Karlsbad,4029705-6
Würzburg,4067037-5
Villa d'Este (Tivoli),4431211-8
Madonna del Rosario e San Michele Arcangelo (Rom),7518147-2
Santa Francesca Romana (Rom),4255225-4
Leipzig,4035206-7
Baden-Baden,4004169-4
Weimar,4065105-8
Dresden,4012995-0
Krzyżanowice (Kattowitz),4447067-8
Rom,4050471-2
Gut Nohant (Nohant-Vic),4698013-1
Budapest,4008684-7
Venedig,4062501-1
Lyon,4036770-8
Paris,4044660-8
Mechelroda,104608433X
Tiefurt,4106329-6
Vatikanstadt,4062404-3
Amsterdam,4001783-7
Vught,4122031-6
Herzogenbusch,4072467-0
Marseille,4037694-1
Mainz,4037124-4
Wiesbaden,4066043-6
München,4127793-4
Berlin,4005728-8
Wien,4066009-6
Palermo,4044402-8
Sankt Petersburg,4267026-3
"New York, NY",4042011-5
Mecseknádasd,4038205-9
Frankfurt am Main,4018118-2
Düsseldorf,4013255-9
Warschau,4079048-4
Nonnenwerth,4400405-9
Gent,4020176-4
Pera,1231583320
Lissabon,4035919-0
Dillenburg,4012326-1
Brüssel,4008460-7
Braunschweig,4008065-1
Königsberg,4031541-1
Hamburg,4023118-5
Steinseltz,1206715707
Birmingham,4006934-5
London,4074335-4
Linz,4074255-6
Karlsruhe,4029713-5
Stadtsulza,4529322-3
Charlottenburg (Berlin),4065382-1
Coburg,4010325-0
Wartburg (Eisenach),4122665-3
Lemberg,4035304-7
Hannover,4023349-2
Weida,4119012-9
La Côte-Saint-André,7675584-8
Köln,4031483-2
Kairo,4029236-8
Meiningen,4038453-6
Sankt Gallen,4051594-1
Stuttgart,4058282-6
Prag,4076310-9
Zürich,4068038-1
Helgoland,4024291-2
Lachen (Kanton Schwyz),4228026-6
Neustadt an der Orla,4191795-9
Detmold,4011555-0
Breslau,4008216-7
Le Port-Marly,4269960-5
Ettersburg,4350289-1
Kittsee,4030894-7
Kassel,4029869-3
Bad Reichenhall,4049111-0
Eisenach,4014013-1
Monastyriska,4432188-0
Bad Eilsen,4013810-0
Bratislava,1063318696
Málaga,4100040-7
Kopenhagen,4032399-7
Dornburg/Saale,4091159-7
Siena,4054903-3
Bergamo,4005611-9
Rodaun,4348476-1
Algier,4084955-7
Siegburg,4054873-9
Mýto (Tachau),4038064-6
Plymouth,4255050-6
Salzburg,4076982-3
Mödling,4039880-8
Szekszárd,4290063-3
Genf,4020137-5
Potsdam,4046948-7
Antwerpen,4002364-3
Mailand,4037100-1
Bad Arolsen,4003019-2
Ofatinți,122677699X
Peterhof (Sankt Petersburg),16026285-9
Florenz,4017581-9
Taunusstein,4059164-5
Mainstockheim,4114933-6
Rotterdam,4050739-7
Sydney,4058708-3
Triest,4078411-3
Ilmenau,4026566-3
Jena,4028557-1
Walderbach,4118963-2
Landshut,4034367-4
Bamberg,4004391-5
Regensburg,4048989-9
Bromberg,17609-6
Winterthur,4066337-1
Senigallia,4305871-1
Spoleto,4105495-7
Imola,4235717-2
Bad Brückenau,4008413-9
Moskau,4074987-3
Bois-Colombes,4477943-4
Variaş,7563647-5
Erfurt,4015240-6
Straßburg,4057878-1
Auschwitz,4068979-7
Suhl,4058526-8
Rüdersdorf bei Berlin,4303467-6
Münchenbernsdorf,4368546-8
Hof (Saale),4072581-9
Mülhausen,4040474-2
Liebstadt,4596116-5
Bartenstein (Schrozberg),10102750-3
Stettin,4057392-8
Mühlhausen/Thüringen,4040466-3
Köthen (Anhalt),4031616-6
Wolfenbüttel,4066832-0
Ottensen,5030792-7
Wedel (Holstein),4107833-0
Caen,4009282-3
Ternopil,4119565-6
Halsdorf (Wohratal),1175993506
Fulda,4018859-0
Marburg,4037446-4
Schweinfurt,4053863-1
Coburg-Neuses,4237930-1
Erlangen,4015299-6
Wolfsburg-Fallersleben,4092035-5
Höxter,4025451-3
Riga,4050042-1
Litomyšl,4271645-7
Gyula,4223484-0
Militsch,5192126-1
Orlík nad Vltavou,7691802-6
Saint-Cloud,4118232-7
Caprese Michelangelo,4789884-7
"Lichtenthal, Baden",4753844-2
Baden (Baden),65461-9
Retz,4049630-2
Hadersdorf-Weidlingau,10050692-6
Freiburg im Breisgau,4018272-1
Mülheim an der Ruhr,4040475-4
Schwabach,4053665-8
Warmbrunn,4064623-3
Heidelberg,4023996-2
Lausanne,4034750-3
Saint-Malo,4118224-8
Vevey,4063428-0
Lobstädt,4815721-1
Plattling,4115991-3
Tübingen,4061147-4
Rosenow,7621837-5
Freiberg,4018266-6
Mecklenburg,4038197-3
Eutin,4015796-9
Nyon,4104620-1
Villers-Cotterêts,4378390-9
Vatikanstadt,4062404-3
Prenzlau,4103284-6
Halle (Saale),4023025-9
Oldenburg (Oldenburg),4043457-6
Magdeburg,4036934-1
Sânnicolau Mare,4094108-5
Narva,4102367-5
Lille,4114418-1
Frankenstein in Schlesien,4093148-1
Vereb,7608415-2
Waldenburg (Landkreis Zwickau),4439683-1
Davos,4011220-2
Baden (Niederösterreich),4004168-2
Libau,4114410-7
Cronenberg (Wuppertal),4113255-5
Empoli,4217920-8
Nürnberg,4042742-0
Sondershausen,4055548-3
Bremen,4008135-7
Wesselburen,4065727-9
Marbach am Neckar,4037443-9
Mannheim,4037372-1
Althengstett,4363281-6
Calw,4009341-4
Groß Schoritz,1137736151
Bonn,4007666-0
Greifswald,4021965-3
Schöneberg (Berlin),4106612-1
Speyer,4056179-3
Dijon,4012315-7
Basel,4004617-5
Bad Kreuznach,4033085-0
Pjatigorsk,4449423-3
Peine,4045022-3
Rostock,4050610-1
Assisi,4003260-7
Azpeitia-Loyola,4341248-8
Lenauheim,4074144-8
Ober-Döbling,7644860-5
Bern,4005762-8
Göttingen,4021477-1
Schwarzenbach a. d. Saale,4053782-1
Samaden,5027667-0
Gießen,4020989-1
Dortmund,4012814-3
Escheburg,10067210-3
Jaroslawl,4028510-8
Türnitz,4513723-7
Lilienfeld,4035731-4
Eger (Komitat Heves),4015304-6
